Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
2.0;Неизвестно;20079000;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;16739800;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;13220650;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
3.0;Неизвестно;30551500;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;16048480;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;26320500;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;16245800;Москва;ЖК «RED7»;2.0;Балкон;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;14508960;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;13170720;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;30039800;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
3.0;Неизвестно;30424500;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;24703840;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;11336400;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;11921400;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;19403900;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;11457720;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;23900200;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;21903200;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;14256800;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;14480800;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;14037210;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;14496550;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
0.0;Неизвестно;14957300;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;26149200;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;23863000;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;12703400;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;20067360;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;29138600;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;24313400;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
0.0;Неизвестно;14983020;Москва;ЖК «RED7»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
3.0;Неизвестно;28228550;Москва;ЖК «RED7»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5831
